Year,Australia,Austria,Belarus,Belgium,Bulgaria,Canada,Croatia,Cyprus,Czech Republic,Denmark,Estonia,European Union,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Monaco,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States of America
2000,349885.433108928,66274.7432545115,53686.857490672,126315.209948975,44896.670545605,572290.385518472,19789.1217501208,7095.964384675,125841.969268613,54148.9049729906,15141.3877177023,4165145.4407136,56973.3505273429,417116.544673865,899284.993390718,103019.664690088,58336.8070649933,2728.9374851015,45123.3354422644,465175.073350703,1274297.98807522,7069.9420401989,216.7504564138,11801.964898672,8798.1820808658,2414.283811215,98.3243559268,172059.812230581,32355.957023316,42194.6191784625,319120.405105406,66411.3299157974,95190.9034483113,1504182.72891476,41155.0114506149,15460.154173141,311599.723883928,54730.4244140378,43545.9597055165,232549.18950468,271429.773920677,561280.866183966,5992438.03977823
2001,357653.329899303,70299.4711482287,53783.847673632,125649.370538717,48568.9178318705,564617.020300164,20943.1099586839,6969.466175788,125541.536474736,55845.147180549,15493.8609887605,4232036.86327499,62442.6400686017,417864.70558616,915634.439635279,105407.307598309,59995.7344751382,2710.2947270657,47482.7207784323,471124.276709558,1257384.56001844,7480.5026066703,214.5853108168,12507.9666751041,9311.9161272918,2550.6040608342,98.5488680526,177037.401595998,34581.7227646535,43530.3487635507,315274.093567475,66113.7557093707,100377.986962722,1542500.06477849,43468.0933515512,16384.7561407934,312395.403164009,55686.7457499206,45002.2787742299,217469.503285608,290774.709706588,570697.030328595,5894462.94151346
2002,361861.387896028,72126.5914446168,53843.704423847,126015.194675856,45786.2947197982,569862.145645112,22031.1266650621,7160.388457603,122593.400101873,55339.6716999691,15020.2841500601,4208860.12268355,64946.4682059915,413569.247853298,899161.567421003,105051.466199101,58968.2277702584,2795.9073116737,45952.7301698154,473504.059244666,1294399.19841025,7508.7432420119,219.9472045515,12614.4250089828,10068.1403163216,2464.2122294337,98.1612757195,176462.400587543,34768.2781829264,42655.8748276072,307535.642199397,69954.4945153443,100655.31311867,1531200.21174359,41593.5332476528,16526.3127114803,332200.842752654,56631.8961687906,43373.9855504706,226365.412047989,281939.349721843,554227.635799311,5935738.78360961
2003,368345.977425107,78023.9538963192,54845.145835185,127523.989700176,49971.1515762142,587306.678537712,23355.2211046544,7550.081927808,126151.648802001,60493.9617162995,16833.2142927367,4306103.94478558,72522.5901920366,422312.884466797,900377.585440517,109126.567554916,61766.839595491,2792.7231318537,45554.322521515,489595.50811926,1299490.60851261,7703.7715079131,229.2658750979,12605.2382016521,10443.3832173203,2666.1343252593,95.2988549787,179867.888967448,36497.1710064703,43906.7096554175,320230.170467384,64697.2992169906,105737.481034365,1568510.14348381,42060.5502497607,16289.385897298,336672.422515549,57203.5990740056,44587.9802671018,240902.462872633,285720.47993753,565475.5203474,5982289.16712555
2004,381519.261592783,78388.9974250799,58457.64761596,128640.48346799,49170.3376894348,585414.860574334,23005.2348535353,7776.909404745,126876.916162316,54916.9105639724,17055.0742451822,4314560.87112777,68821.8128908428,423168.636085445,886344.629703686,109571.060909579,60231.6619844867,2837.0290105777,46042.4022484132,492746.255602992,1298433.88847959,7709.4607618204,229.2963216265,13185.4933655222,11871.1077184731,2604.7448318279,90.2005037527,181546.25702136,36063.663329171,44320.0048845842,324279.449842642,67458.1591415789,104575.077756967,1575180.85973468,42576.9588896981,16639.1710998347,353472.612328343,56428.8031427144,45149.667089312,253172.078433031,296753.731531998,566598.164015122,6096978.36306809
2005,385581.132806466,79588.5018807541,59664.73908178,125118.016504076,50191.1160644292,579225.335719904,23451.8458466746,7961.983988964,124590.137925265,51307.2445174626,16330.7338304477,4290586.66799942,56912.3148929823,428557.610248936,865958.513395873,113219.822395958,60329.5050120849,2797.3145919785,47952.2043880837,490914.262890322,1305938.82350271,7790.4039319564,228.9703238978,13946.8843032497,12130.9137942819,2736.3129335852,88.7506912514,177540.473199828,37645.434299041,43548.2302876495,323372.578397668,70034.5294076015,102414.252372896,1593933.34385535,42581.0225015084,16938.3242617391,368745.068407983,53859.2057258473,45778.0894571267,279130.740814477,307341.483489843,563783.537554562,6122746.6118598
2006,391134.100909449,76934.9515340371,62229.398882869,122319.593759433,51446.2829381283,573479.269701141,23684.9350307817,8152.492308125,125923.402444959,59162.4996316885,15719.5289253761,4297988.16195699,68201.9059970754,417662.678913825,877422.45689212,111777.743714104,59751.7310814697,2939.2765967366,47405.9667288105,486594.066569872,1285177.83728116,8289.2066784209,231.2173051159,14303.032680413,11995.820174914,2776.3143067059,82.1239180017,172772.892779103,37519.1047271712,43913.7448222241,336500.578934838,65465.41971559,106175.991142102,1653289.19267186,42320.4844795718,17129.8019864058,360063.336319558,53697.6559330674,45351.1719954308,302195.954579745,325586.622022044,562083.094783584,6042393.61487176
2007,398816.453543549,74268.1107226333,61563.881729088,118027.408646158,55184.4241047849,596041.321973836,24955.3759314165,8458.664261444,126933.162985254,54429.0851744511,18755.6479305233,4244213.12941646,66531.7208142561,408508.589897444,850795.7207597,114127.554270902,58419.0391671472,3236.8953365336,47493.1266838399,478237.711240526,1319799.19357988,8610.2553967479,200.920107914,15624.07633974,11398.7059208596,2831.6422646863,82.7191922532,173178.420395882,36651.3714858119,45842.8095311711,336268.110889212,62791.1477666385,104540.350942151,1653139.05550251,40725.2998364864,17272.3791866788,367292.283251434,52911.7267272877,43360.3856976932,333166.418749646,330087.250809744,553719.939024983,6121653.86307212
2008,404237.828214077,74066.2557920763,63846.103794367,120362.609842562,53655.1401671903,577444.930222255,23715.3843178607,8620.395581741,121780.716313732,50935.6715289027,17264.5200333765,4149624.29618927,58461.6330236854,401878.86465183,853229.940752254,110255.765521907,57325.1623293437,3567.2092596623,47175.5402654915,467933.59324447,1235455.81022118,8184.9712465431,219.6989154779,14963.2547162584,11245.8724868627,2822.4061669052,81.3769010878,176174.418350642,37674.0517694367,44893.0941871551,329338.171084879,60550.0402031828,101035.420806089,1684999.82263502,41236.324036934,18219.7304323115,335994.803720112,50831.5768143801,44676.9439665557,323536.545145816,317063.843729194,539916.163191626,5923201.37582301
2009,408448.47899963,67682.7251493548,59596.205375555,107282.543508312,45487.8735503956,542829.458896225,21965.6352675347,8372.396591774,113970.029219436,48592.2113851369,14153.005161794,3814305.25795781,55635.5827690138,383957.624293905,788422.437923384,103969.78429385,51630.6900244073,3521.8907096149,41996.3246778451,418881.076903293,1162606.19176432,7443.2860105436,205.5905437334,12727.12003622,10725.5221348792,2684.521293014,77.7719361036,170796.156580042,34806.4020881589,43212.0924688473,315937.965878291,58004.1969738053,85288.2940231284,1576703.96685802,37433.4334191131,16328.2103332782,296617.991048484,47267.4466673127,43509.0865581053,310580.701035275,269598.421828219,489012.500484764,5488320.28042503
2010,406200.993184341,72531.826129136,61632.492704327,114155.386728776,47678.6489573594,555003.760260925,21183.709310531,8004.912020822,115757.36858641,48993.4173755474,17833.779609149,3933290.52224844,63828.0182275297,394235.674136659,832259.203309583,97035.0827603655,52108.8927624657,3383.5522186881,41558.2750861697,428879.681194381,1212970.22514141,8524.0872266093,191.0475017168,13618.9126645228,11285.0274171344,2690.5180352054,75.4682651257,182529.786939532,35017.2413542609,45833.8920681508,334026.154705205,53583.8858598739,80795.7740259277,1662592.25855081,38385.9425232062,16363.4297727931,283581.400657324,53057.7346342268,45027.0644798623,320356.658972933,287113.606385185,507595.711988819,5688756.00501015
2011,403705.528313991,70327.1670444138,61128.400592577,104945.713770963,53020.9811161954,558152.72293811,20614.4404738916,7696.667805268,114113.146744787,43970.7892561051,18449.9308643309,3789763.64094378,56478.7455886964,368183.438441815,812483.219621071,94102.9439816174,50272.8651021622,3298.5676895859,37895.1954270366,416499.534208263,1261862.93795353,7807.6594095667,177.0880402454,13919.0154984666,11168.5116663343,2785.8965684572,71.8818954509,169792.136541403,34366.5826844218,44946.8693532922,333713.650695256,52150.653443811,86163.6343263804,1717221.95058062,37880.8531455433,16348.2391107374,283918.679194864,49133.5869433916,40973.1491672158,338094.408177677,301273.502167972,464885.748926953,5559507.66443653
2012,406462.8477036,67698.6586349119,60636.851387067,100931.595609756,48117.5560830313,563423.613154917,18776.3813482483,7160.971875548,109841.328902436,39524.4020330104,17304.6372276438,3728965.03097874,50983.2728750769,370491.153703148,817031.440197659,90710.5742463723,46774.9448452999,3290.5764313293,38031.6187161936,389340.763399181,1296186.35836425,7521.1225279261,185.6324313603,13975.5232139658,10872.0644823704,2868.6381281433,75.1655688427,165665.023774753,35621.0260193518,44553.9656597819,326597.790549729,50262.4224416189,84661.2305445011,1727489.10411795,35867.8962742317,15800.18723876,279830.308257069,46559.6400230299,42241.5536052143,363126.007248006,295706.064347456,484388.090389505,5349220.94664921
2013,396913.93653029,67957.1211123863,61510.987153813,101744.736736883,42534.9272034699,573094.038846396,18359.4998410627,6449.610812027,106477.08866661,41537.0358081307,19566.3683734371,3646389.52530377,51834.6967381541,369985.594525824,835792.632256705,82910.6259583055,43930.8781767816,3301.7963137658,37049.4238313976,362063.649296268,1311509.14921749,7353.2204436942,192.8644157887,12987.8175314716,10303.0396071267,2476.0744290959,74.4309201898,165475.88439356,35094.2867396817,44309.0559727695,322440.486501595,48495.550477338,74083.358238036,1666644.42307436,35395.1548629239,15148.7253832075,252259.690488153,44899.1519357186,43181.6594395143,354961.042273042,287436.404374375,475832.050586927,5502550.71398641
2014,393126.946994288,64262.5639931315,60615.645730992,96325.4131833302,45139.955286201,574099.775511611,17607.3224145688,6878.555308563,101159.12216724,37460.6564588265,18918.7153387101,3463397.56376209,47597.7335272535,341152.531504158,792902.788025434,79628.2743994757,43573.4088387418,3272.2082329651,36559.0685812916,342826.677130676,1265490.60931631,7158.7180366986,161.5418166628,12732.798863701,9826.2532775828,2483.5367864507,blank,157789.581719585,35616.9853050414,43869.4510924803,310307.297357959,48353.6903302063,74046.4676268308,1671568.65225681,33387.4287224285,13489.9800352085,253466.917957776,43404.9031709849,39265.0525915552,382213.401686307,247561.22104158,434794.556933168,5556006.57780565
